,Neighbourhoods,2013,2014,2015,2016,2017,2018,2019,Variation
64,el Camp de l'Arpa del Clot,609.36,598.82,644.01,697.99,778.14,818.66,856.0,0.4047525272416962
65,el Clot,624.21,624.84,651.6,695.55,767.51,808.9,856.54,0.37219845885198877
66,el Parc i la Llacuna del Poblenou,687.87,693.72,748.85,823.6,893.67,995.22,1014.72,0.4751624580225915
67,la Vila Olímpica del Poblenou,926.71,1003.24,1104.48,1184.04,1259.7,1284.43,1361.65,0.46933776478078365
68,el Poblenou,670.44,654.35,735.04,794.11,900.22,961.73,1004.72,0.4985979356840283
69,Diagonal Mar i el Front Marítim del Poblenou,914.1,892.03,1059.75,1124.8,1092.06,1085.34,1372.38,0.5013455858221202
70,el Besòs i el Maresme,510.8,477.06,506.71,541.25,613.03,685.56,738.08,0.4449490994518403
71,Provençals del Poblenou,594.32,639.55,661.38,839.8,932.02,948.8,982.03,0.652358998519316
72,Sant Martí de Provençals,638.09,633.78,673.92,700.75,765.22,792.68,837.58,0.3126361485056967
73,la Verneda i la Pau,576.17,565.47,610.72,605.56,688.63,740.92,778.41,0.3510075151431002
